url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/iodex-ultra-gel-otc917747,Iodex Ultra Gel+,GlaxoSmithKline Consumer Healthcare,"It helps to alleviate back, joint, neck, shoulder and body pain.","Diclofenac Diethylamine Gel I.P. 2.32% w/w equivalent to Diclofenac Sodium I.P. 2% w/w., Gel, 15 gm, Male/Female",,
https://www.1mg.com/otc/sloan-s-liniment-kills-pain-reduces-swelling-strengthens-muscles-ligaments-otc315107,Sloan's Liniment,Piramal Enterprises Ltd,,Oil,,
https://www.1mg.com/otc/jiva-pain-calm-oil-pain-reliever-for-joint-pain-back-pain-frozen-shoulder-sprain-muscle-soreness-otc329877,Jiva Pain Calm Oil,Jiva Ayurvedic Pharmacy Ltd,,,,
https://www.1mg.com/otc/tripurna-pain-reliever-oil-60ml-each-otc966741,Tripurna Pain Reliever Oil (60ml Each),Vedshakti Healthcare,,"Wintergreen Oil, Mahanarayan Oil, Kapoor, Tarpin Oil, Malkangni Oil, Guggal Oil, Mahamash Oil, Panchgun Oil, Pudina Satva, Maha Vishgarbha Oil, Til Oil (q.s.), Helpful in joint pain such as knee pain, back pain, elbow pain, neck pain, shoulder pain, and other joint discomforts, Enriched with the goodness of 9 essential oils, Anyone can use it for managing joint discomfort, Manages old and stringent pain","Apply a sufficient quantity of Tripurna Pain Reliever Oil on the affected area, and gently massage until it is absorbed completely, Repeat this 3 to 4 times daily, or as directed by the healthcare professional","Read the label carefully, Store in a cool, dry place, Keep out of reach of children, Do not exceed the recommended dose"
https://www.1mg.com/otc/himalaya-rumalaya-pain-relief-gel-quick-relief-from-body-pain-ayurvedic-gel-otc90714,Himalaya Rumalaya Gel,Himalaya Wellness Company,,"30 gm, Gel",Apply a small quantity of the gel to the tender area and lightly massage it in or as directed by the physician.,
https://www.1mg.com/otc/saridon-woman-fast-action-against-abdominal-body-pain-and-headaches-tablet-otc990184,"Saridon Woman, Fast Action Against Abdominal, Body Pain and Headaches Tablet",Bayer Pharmaceuticals Pvt Ltd,,"Each Tablet contains:  Hyoscine butylbromide 10 mg + Paracetamol 500 mg, FORMULATED TO REDUCE PERIOD PAIN: Specifically formulated to alleviate the pain associated with menstrual cramps/periods and other related discomforts, PAIN REDUCTION: Combines Hyoscine butyl bromide (10 mg) and Paracetamol (500 mg) to effectively relieve abdominal spasm, period pain and general pain relief, VERSATILE APPLICATION: Suitable for relieving abdominal pain, backaches, headaches, and other common symptoms experienced during menstruation, Plant based origin :Hyoscine butylbromide, Molecule of plant origin with paracetamol for safe and effective relief from period pain, IMPROVED PRODUCTIVITY: By reducing the severity of menstrual / period pain, Saridon Woman helps women stay focused and productive during their periods every month, Fast and long lasting action: Begins to alleviate pain quickly, allowing users to resume their daily activities without prolonged discomfort, SUITABLE FOR 12 years and above AGES: Safe for women of 12+ age, CONVENIENT DOSAGE: 1-2 tablets three times a day as mentioned on the pack or as recommended.",Swallow the tablet with water. 1-2 tablets three times a day or as recommended by physician,"Pregnant and Lactating women and individuals with any pre-existing condition should consult a doctor before taking the medicine, In case of symptoms of any illness, please consult a doctor."
https://www.1mg.com/otc/moov-pain-relief-ointment-for-back-pain-joint-pain-knee-pain-muscle-pain-otc377375,"Moov Pain Relief Ointment for Back Pain, Joint Pain, Knee Pain, Muscle Pain",Reckitt Benckiser Healthcare Pvt. Ltd.,,"Ointment, 30g",,
https://www.1mg.com/otc/moov-cool-therapy-gel-otc964102,Moov Cool Therapy Gel,Reckitt Benckiser Healthcare Pvt. Ltd.,,"Each gram of gel contains: Pudina Satva (Mentha piperita) extract (Aerial parts of plant) 8.0% w/w, Preservative: Benzyl Alcohol IP, Colouring Agents: Brilliant Blue FCF, Tartrazine Yellow., Gel., 20g.",Apply a thin film of the gel to the affected area and massage gently. Repeat 3-4 times daily for best results.,
https://www.1mg.com/otc/omnigel-spray-from-cipla-for-fast-relief-from-pain-sprain-and-strain-otc333106,Omnigel Spray,Cipla Ltd,,"Diclofenac, Linseed Oil, Diclofenac Diethylamine, Menthol and Methyl Salicylate, Contains Diclofenac and Linseed Oil that help in reducing inflammation and redness, Methyl Salicylate and Menthol penetrate deep into the affected area and act as mild analgesics, Menthol provides a soothing and cooling sensation and gives immediate relief, The spray goes deep into the site of joint and muscle pain to ensure quick and effective relief from pain","Shake well before each use, Spray the contents from a 5cm distance on the affected areas 3 -4 times a day, Do not spray on open wounds","Read the label carefully before use, Store in a cool and dry place and do not expose to heat or direct sunlight, Do not pierce or burn the container, and do not spray on a naked flame or incandescent material, Do not spray near the eyes or face and avoid direct inhalation, Not meant for veterinary use, Do not exceed the recommended dose, Keep out of the reach and sight of children"
https://www.1mg.com/otc/volini-pain-relief-gel-for-sprain-muscle-joint-neck-low-back-pain-bone-joint-muscle-care-otc138818,Volini Pain Relief Gel,Sun Pharmaceutical Industries Ltd,,"Diclofenac Diethylamine Equivalent to Diclofenac Sodium 1% w/w, Methyl Salicylate IP, Menthol IP, Virgin Linseed Oil BP, Preservative, Benzyl Alcohol IP, Gel Base, The spray can offer relief when in pain and supports bone, muscle and joint care., It is effective for pain in the joints, knees, back, shoulders, and neck, It can work great on sports injuries such as muscle pulls, sprains, and strain, It provides instant and long-lasting pain relief from knee pain, joint pain, back pain, calf pain, and neck pain","The Volini pain relief bottle should be shaken well before spraying, Hold the spray bottle at a 5cm distance from the affected area and spray, You can use the spray about three to four times daily or as recommened by your physician","Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, The Volini pain relief spray is meant for external application only, Use Volini per the doctor’s guidance, and be careful not to use more than the given dosage, Do not use the spray on open wounds or surfaces of the skin that are ruptured, The spray should not be ingested or come in contact with the eyes and mucous membranes, Avoid using the spray near a naked flame, Do not burn or make a hole in the bottle even after the spray is over"
