url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/lp-271z-thigh-compression-sleeve-xxl-otc331446,Uses:,LP Support,"It is used to enhance the explosive strength of thigh muscles, improving kicking and jumping.",,Use as directed by the health-care professional and Make sure the power band is positioned around the knee.,"Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place"
https://www.1mg.com/otc/lp-605-palm-brace-medium-otc331337,LP #605 Palm Brace,LP Support,"Provides support and relieves pain from the stiff, swollen or injured wrist. Protects against further injury.",,Measure the circumference of your wrist and wear accordingly.,"Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place"
https://www.1mg.com/otc/medtrix-cervical-pillow-spondylosis-neck-and-back-pain-support-universal-blue-otc503567,Medtrix Cervical Pillow Spondylosis Neck and Back Pain Support Universal,Medtrix,"It is used to support the head, neck and shoulder for better comfort.",,Read the instructions manual for usage directions.,"Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place"
https://www.1mg.com/otc/comprezon-cotton-varicose-vein-stockings-class-1-above-knee-medium-beige-otc390210,,Dynamic Techno Medicals Pvt. Ltd.,,,,
https://www.1mg.com/otc/accusure-c1-elastic-cervical-collar-soft-medium-otc371793,,AccuSure Ortho Support,,,,
https://www.1mg.com/otc/medtrix-functional-open-patella-hinge-knee-support-small-grey-otc503678,,Medtrix,,,,
https://www.1mg.com/otc/medtrix-hinged-knee-cap-large-beige-premium-otc503706,,Medtrix,,,,
https://www.1mg.com/otc/accusure-e-1-tennis-elbow-wrap-neoprene-otc371732,,AccuSure Ortho Support,,,,
https://www.1mg.com/otc/lp-161xt-x-tremus-back-support-xl-otc331207,LP #161XT X-Tremus Back Support,LP Support,"It is primarily recommended in moderate muscle strain, low back pain and HIVD (Herniated lntervertebral Disc).","X pattern Stable Contoured Structure combined with elastic straps and semi-rigid stays provide lumbar spine maximal protection, C Pattern Magic Power Band contoured to fit the core muscles preserves energy consumption and enhances sports explosion, Semi-rigid stays positioned on the back support and stabilize the lumbar spine without limiting performance, Bilateral straps provide reinforced compression to enhance stays function with extra stability, Pocket closure design makes it easier to wrap in front, Durable Fitting Knit with high permeability fabric ensures wearing durability and breathability",Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/lenvitz-universal-gel-pillow-large-otc399029,Lenvitz Universal Gel Pillow,Lenvitz Medical Solutions Pvt Ltd,It is used to protect the patient during surgery.,,Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/rublin-bottle-otc955704,Rublin Liniment,Kesar Herbals,,"Mahanarayan tail, Mahavishgarbh oil, Til tail, Kapoor, Pudina phool, Nilgiri tail, Wintergreen oil, The ointment may provide relief from back, muscle, joint, knee, back, shoulder and neck pain, It helps manage sports injuries such as muscle pulls, cramps, sprains, and strains, The formulation may help to deal with joint and muscle disorders, The formula penetrates deep into the skin to reduce inflammation and pain",Apply on the affected area and massage gently,"Keep out of reach of children, Store in a cool and dry place, For external usage only, Read the label before use"
https://www.1mg.com/otc/mesmara-cedarwood-cedrus-deodara-essential-oil-otc481256,Mesamara Cedar wood Essential Oil,Siva Sri Retail,,"100%, therapeutic grade cedar wood essential oil - no fillers, additives, bases or carriers added, Woody and warm fragrance, Acts as a natural deodorizer, Promotes a relaxed environment when used aromatically, Treats acne, Natural insect repellant, Prevents hair loss, Reduces pain and has anti-inflammatory properties, Helps reduce fungal infection, Enriched with trace elements","Diffuse after a stressful day to relax the mind and body, Use with a carrier oil in massage therapy, Add 1-2 drops to facial toner or moisturizer for added clarifying properties, Inhale directly or diffuse to promote healthy respiratory function","For external use only, Keep out of reach of children, Avoid Contact with eyes, Do not use on sensitive or damaged skin, Do not use undiluted on skin, Avoid using, if pregnant"
https://www.1mg.com/otc/aurthot-afo-foot-drop-splint-small-left-otc389288,,Aurthot Surgicals (OPC) Pvt Ltd,,,,
https://www.1mg.com/otc/pindathailam-otc490231,Pindathailam,Averdynm Herbals Pvt Ltd,,"Madhuchishta, Manjishta, Sarjarasa, Sariba, It helps alleviate aggravated vata and pitta dosha, It helps reduce burning sensation and pain as in gout, It helps address pain in varicose veins, It can also be used in ulcers and traumatic injuries, It also addresses burns and spasms, It is used for ayurvedic treatments for diabetic retinopathy",Gently apply and massage a generous quantity of oil over the desired area,"Read the label carefully before use, Keep out of the reach of children, Store in a cool dry place away from direct sunlight and heat"
https://www.1mg.com/otc/boldfit-knee-support-cap-brace-large-otc688142,,Sasvat Omnicare Pvt Ltd,,,,
https://www.1mg.com/otc/sensur-cramp-relief-roll-on-otc796481,Sensur Cramp Relief Roll On,Integrace Pvt Ltd,,"Karpoora, Gandhaputra, Nilgiri, It offers relief from period-related pain, It helps relax muscles during menstruration, It helps to increase blood circulation to the uterine wall, Its unique aromatic blend lightens the mood and helps relax, It is a single quick absorption formula that acts fast and clears pain",As directed on the label,"Read the label carefully, Keep away from direct sunlight, Store in a cool and dry place, Keep out of the reach of children"
